Name,Salary
119736,1000
448094,1001
206893,1002
333743,1003
172534,1004
785275,1005
995932,1006
223488,1007
433512,1008
142071,1009
253816,1010
894922,1011
422834,1012
582721,1013
842700,1014
874333,1015
580146,1016
456149,1017
767862,1018
353022,1019
367814,1020
671392,1021
772887,1022
983122,1023
934215,1024
385951,1025
716332,1026
751262,1027
633663,1028
105851,1029
710400,1030
703001,1031
352792,1032
717603,1033
937659,1034
294022,1035
410500,1036
524433,1037
779298,1038
491831,1039
814637,1040
737515,1041
222653,1042
788543,1043
691681,1044
368807,1045
174002,1046
198760,1047
831395,1048
305698,1049
515722,1050
415582,1051
783533,1052
640802,1053
403866,1054
828788,1055
751490,1056
972562,1057
367541,1058
481360,1059
920232,1060
727659,1061
471817,1062
983043,1063
578286,1064
347276,1065
477786,1066
265907,1067
107560,1068
908183,1069
356024,1070
575299,1071
790478,1072
801776,1073
291781,1074
537286,1075
289305,1076
697409,1077
633944,1078
963511,1079
729649,1080
862584,1081
371891,1082
785595,1083
567696,1084
219025,1085
447216,1086
305141,1087
625575,1088
262109,1089
228457,1090
622799,1091
233271,1092
932950,1093
641952,1094
796260,1095
301822,1096
559927,1097
224400,1098
123936,1099
333818,1100
254323,1101
247444,1102
882598,1103
386918,1104
497337,1105
526844,1106
623400,1107
826170,1108
185483,1109
920003,1110
274246,1111
423636,1112
970906,1113
227898,1114
525138,1115
923627,1116
619743,1117
910727,1118
363647,1119
512519,1120
904304,1121
835349,1122
891725,1123
923503,1124
292347,1125
363828,1126
110490,1127
480733,1128
993346,1129
934992,1130
645841,1131
747846,1132
482457,1133
574787,1134
831418,1135
968562,1136
576324,1137
290435,1138
526086,1139
119823,1140
497414,1141
340883,1142
892551,1143
670595,1144
194101,1145
167200,1146
139064,1147
846636,1148
310177,1149
865452,1150
783429,1151
878060,1152
935342,1153
456376,1154
363001,1155
478864,1156
600402,1157
483983,1158
991615,1159
644573,1160
853278,1161
100658,1162
433115,1163
760337,1164
884738,1165
610102,1166
830823,1167
618364,1168
712563,1169
493030,1170
188150,1171
589642,1172
846109,1173
399079,1174
680135,1175
621379,1176
606710,1177
443319,1178
228591,1179
721610,1180
507395,1181
213399,1182
579400,1183
509951,1184
930798,1185
729247,1186
288344,1187
275351,1188
976690,1189
507111,1190
547458,1191
827732,1192
229489,1193
175251,1194
590043,1195
476037,1196
674960,1197
743790,1198
817283,1199
201980,1200
351505,1201
798806,1202
153643,1203
683653,1204
475264,1205
912944,1206
945134,1207
219959,1208
793504,1209
450423,1210
505178,1211
408688,1212
477759,1213
882441,1214
727602,1215
313226,1216
337027,1217
649251,1218
142564,1219
197782,1220
709787,1221
655065,1222
176778,1223
559179,1224
698071,1225
642950,1226
477240,1227
672348,1228
922844,1229
948580,1230
364552,1231
561601,1232
584749,1233
601327,1234
302578,1235
756585,1236
627591,1237
663563,1238
108959,1239
951069,1240
490641,1241
443968,1242
433688,1243
168578,1244
294375,1245
902110,1246
279816,1247
994565,1248
930535,1249
844642,1250
292887,1251
655128,1252
164038,1253
163057,1254
327730,1255
218187,1256
697530,1257
619053,1258
431406,1259
256801,1260
571398,1261
239669,1262
530369,1263
948187,1264
571059,1265
470539,1266
791046,1267
563971,1268
823903,1269
812504,1270
597719,1271
716513,1272
378286,1273
698982,1274
624550,1275
666076,1276
474145,1277
572929,1278
640205,1279
295930,1280
823004,1281
230536,1282
936142,1283
724639,1284
119986,1285
603370,1286
532496,1287
786954,1288
416348,1289
506364,1290
311994,1291
807442,1292
235695,1293
481294,1294
292670,1295
127739,1296
869056,1297
514471,1298
903764,1299
192068,1300
109815,1301
495339,1302
752123,1303
412775,1304
249958,1305
754919,1306
829637,1307
931429,1308
565451,1309
722334,1310
630898,1311
166536,1312
469135,1313
678786,1314
284473,1315
499389,1316
541241,1317
797586,1318
812823,1319
598244,1320
788363,1321
737787,1322
445518,1323
758347,1324
195133,1325
991548,1326
696936,1327
393176,1328
626647,1329
915781,1330
827852,1331
800420,1332
728346,1333
928642,1334
442061,1335
810826,1336
336798,1337
830917,1338
984232,1339
203667,1340
395084,1341
869242,1342
704537,1343
692691,1344
580758,1345
515486,1346
884079,1347
491095,1348
579764,1349
263177,1350
710739,1351
156129,1352
178800,1353
406073,1354
450089,1355
894206,1356
472007,1357
500287,1358
365732,1359
365145,1360
237841,1361
497561,1362
245837,1363
732075,1364
657625,1365
790556,1366
207626,1367
902008,1368
135936,1369
997759,1370
470224,1371
367761,1372
285586,1373
122164,1374
152913,1375
655156,1376
989201,1377
207985,1378
732449,1379
665653,1380
939634,1381
981796,1382
269573,1383
602123,1384
336717,1385
238449,1386
530357,1387
896911,1388
391646,1389
710345,1390
944525,1391
800878,1392
866106,1393
204794,1394
849458,1395
806471,1396
464589,1397
591943,1398
973133,1399
743965,1400
528185,1401
219113,1402
376803,1403
233559,1404
579117,1405
517674,1406
980808,1407
143584,1408
489643,1409
986109,1410
654640,1411
700895,1412
407962,1413
494610,1414
744305,1415
512991,1416
507789,1417
186262,1418
978388,1419
784347,1420
679408,1421
306619,1422
457004,1423
329255,1424
900892,1425
633241,1426
502372,1427
719075,1428
920786,1429
232605,1430
601984,1431
459878,1432
565530,1433
202651,1434
909104,1435
872719,1436
997611,1437
519606,1438
624248,1439
783767,1440
285479,1441
424793,1442
256213,1443
155199,1444
830871,1445
757768,1446
176583,1447
678864,1448
854000,1449
631978,1450
967058,1451
878374,1452
113053,1453
288738,1454
594369,1455
706890,1456
536032,1457
747825,1458
608124,1459
934739,1460
757078,1461
956518,1462
548584,1463
132904,1464
111857,1465
388383,1466
276410,1467
546756,1468
669229,1469
766573,1470
765578,1471
166613,1472
883261,1473
842655,1474
248167,1475
976562,1476
620457,1477
336697,1478
648295,1479
858080,1480
579910,1481
735184,1482
420445,1483
373504,1484
266080,1485
178535,1486
574531,1487
606491,1488
885991,1489
908170,1490
487022,1491
723719,1492
628922,1493
232316,1494
151933,1495
225577,1496
443296,1497
747464,1498
548566,1499
510281,1500
481334,1501
621142,1502
907206,1503
963412,1504
561805,1505
177053,1506
888564,1507
399592,1508
616030,1509
671336,1510
914194,1511
632104,1512
895447,1513
969519,1514
149119,1515
804466,1516
688199,1517
977912,1518
312530,1519
154572,1520
299157,1521
358433,1522
131991,1523
844614,1524
735501,1525
703956,1526
547680,1527
562722,1528
820860,1529
894562,1530
577091,1531
755818,1532
839723,1533
118899,1534
612231,1535
163526,1536
278995,1537
875706,1538
712263,1539
241888,1540
115934,1541
214979,1542
601369,1543
859735,1544
868972,1545
369631,1546
130797,1547
770857,1548
834275,1549
102432,1550
776440,1551
945568,1552
132404,1553
395018,1554
248575,1555
812631,1556
220621,1557
139061,1558
419108,1559
391574,1560
449147,1561
998635,1562
437290,1563
395835,1564
613321,1565
865150,1566
635664,1567
529300,1568
430318,1569
441395,1570
294015,1571
950097,1572
110324,1573
416938,1574
586755,1575
863494,1576
574538,1577
514370,1578
373414,1579
997019,1580
910144,1581
552357,1582
655342,1583
897773,1584
926390,1585
216408,1586
548404,1587
206428,1588
292458,1589
919465,1590
630483,1591
825224,1592
404295,1593
150387,1594
946844,1595
751897,1596
910845,1597
763316,1598
727002,1599
559336,1600
236251,1601
529747,1602
858323,1603
158617,1604
334713,1605
318842,1606
649501,1607
445540,1608
371999,1609
218472,1610
580250,1611
907556,1612
327269,1613
892361,1614
398442,1615
423598,1616
327184,1617
314582,1618
975779,1619
337568,1620
459597,1621
511988,1622
455917,1623
304879,1624
881425,1625
208817,1626
918862,1627
523984,1628
226520,1629
413066,1630
177491,1631
906786,1632
252960,1633
753041,1634
275656,1635
366151,1636
143520,1637
578715,1638
728171,1639
147189,1640
626834,1641
840720,1642
911131,1643
814705,1644
896748,1645
640263,1646
756661,1647
267816,1648
876992,1649
866801,1650
135106,1651
995558,1652
577604,1653
334208,1654
601206,1655
335613,1656
586214,1657
645424,1658
584595,1659
924430,1660
842675,1661
379599,1662
280286,1663
147622,1664
592104,1665
936914,1666
689421,1667
162509,1668
205789,1669
559033,1670
411708,1671
945341,1672
985128,1673
859902,1674
767859,1675
235747,1676
644183,1677
956443,1678
278796,1679
608556,1680
454763,1681
908461,1682
333252,1683
332105,1684
874411,1685
700665,1686
582288,1687
903047,1688
446936,1689
758257,1690
205579,1691
542261,1692
467776,1693
547808,1694
148603,1695
620151,1696
423148,1697
285805,1698
666963,1699
218058,1700
824968,1701
583791,1702
288895,1703
622218,1704
471679,1705
330603,1706
340377,1707
325580,1708
355939,1709
537551,1710
817217,1711
307610,1712
934843,1713
479633,1714
261810,1715
251498,1716
652676,1717
430162,1718
107565,1719
137773,1720
150881,1721
818305,1722
772993,1723
335686,1724
354163,1725
131859,1726
102237,1727
496689,1728
386266,1729
189496,1730
448454,1731
152055,1732
516954,1733
346222,1734
827364,1735
865575,1736
666784,1737
908304,1738
724035,1739
616507,1740
743467,1741
542565,1742
666420,1743
716343,1744
166243,1745
869527,1746
793316,1747
525660,1748
228542,1749
345892,1750
235832,1751
710139,1752
352426,1753
384442,1754
286876,1755
300150,1756
604759,1757
374411,1758
447691,1759
735405,1760
476328,1761
188892,1762
738918,1763
320338,1764
443947,1765
167317,1766
430437,1767
873593,1768
653808,1769
122734,1770
603486,1771
855783,1772
379870,1773
536577,1774
178873,1775
300562,1776
555619,1777
758060,1778
489526,1779
861565,1780
692765,1781
428588,1782
116583,1783
779587,1784
827888,1785
983194,1786
549068,1787
116416,1788
787983,1789
473317,1790
139920,1791
464379,1792
110577,1793
964532,1794
783365,1795
243580,1796
936931,1797
464273,1798
142893,1799
583948,1800
466262,1801
868179,1802
368509,1803
825334,1804
584286,1805
426369,1806
621175,1807
740683,1808
974438,1809
443137,1810
174313,1811
515429,1812
168714,1813
967565,1814
216270,1815
650875,1816
971511,1817
413953,1818
450658,1819
228299,1820
717202,1821
772804,1822
932466,1823
533299,1824
284003,1825
205704,1826
346837,1827
371665,1828
574882,1829
110888,1830
375055,1831
482716,1832
603519,1833
268570,1834
820558,1835
498729,1836
950716,1837
128894,1838
881492,1839
321346,1840
581291,1841
370644,1842
545031,1843
201089,1844
790967,1845
558007,1846
125552,1847
527643,1848
110872,1849
893113,1850
575211,1851
665536,1852
273487,1853
280674,1854
248341,1855
113250,1856
430658,1857
449510,1858
814098,1859
491496,1860
519546,1861
399722,1862
898714,1863
284335,1864
328660,1865
939217,1866
312341,1867
851500,1868
206063,1869
911054,1870
990316,1871
998798,1872
743895,1873
183291,1874
762494,1875
614159,1876
313157,1877
549388,1878
381206,1879
903839,1880
484007,1881
758694,1882
718473,1883
310500,1884
951965,1885
686067,1886
630246,1887
960864,1888
368093,1889
596039,1890
793688,1891
655727,1892
203305,1893
625673,1894
484687,1895
745529,1896
595624,1897
901277,1898
986412,1899
555955,1900
817829,1901
447682,1902
791246,1903
828195,1904
349231,1905
327231,1906
157885,1907
480677,1908
469669,1909
162340,1910
368883,1911
823110,1912
805930,1913
615055,1914
510571,1915
599636,1916
252174,1917
801148,1918
793447,1919
787827,1920
970645,1921
829730,1922
693967,1923
780380,1924
816959,1925
575231,1926
625865,1927
132961,1928
418645,1929
451133,1930
688245,1931
516626,1932
529970,1933
884768,1934
163481,1935
758210,1936
249945,1937
805642,1938
240151,1939
144321,1940
872373,1941
775283,1942
